Applicant_Name,Harmonised_Name,Siemens_Group,Patent_Family_ID,Filing_Year,Person_ID,PSN_Sector,Sector
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,76971695,2021,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,76971695,2021,57972526,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,77168101,2021,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,77168101,2021,57972526,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,71568416,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,78649234,2021,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,71568416,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,79730656,2022,57972526,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,80625023,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,80625023,2022,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81325483,2022,71568416,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81325483,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81325483,2022,57972526,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81850349,2022,71568416,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81850349,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81850349,2022,57972526,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,81850349,2022,71191019,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,83506111,2022,71568416,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,83506111,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,83506111,2022,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,83506111,2022,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,84365425,2022,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,86095899,2023,57725044,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,86095899,2023,63583709,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY A,SIEMENSGAMESARENEWABLEENERGYA,Siemens Gamesa,75339417,2021,76260654,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY A,SIEMENSGAMESARENEWABLEENERGYA,Siemens Gamesa,76971679,2021,76260654,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY A,SIEMENSGAMESARENEWABLEENERGYA,Siemens Gamesa,76971686,2021,76260654,COMPANY,Company
SIEMENS GAMESA RENEWABLE ENERGY AS,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,76971679,2021,87449843,UNKNOWN,Company
SIEMENS GAMESA RENEWABLE ENERGY AS,SIEMENSGAMESARENEWABLEENERGY,Siemens Gamesa,76971686,2021,87449843,UNKNOWN,Company
